PARLIAMENTARY_CONSTITUENCY,ASSEMBLY_CONSTITUENCY ,TOTAL_POPULATION,SC_POPULATION,ST_POPULATION,DISTRICT,DEVIATION
24-Bangalore North,157. Malleshwaram,240889,16882,2424,BANGALORE,
24-Bangalore North,158. Hebbal,216977,18240,2499,BANGALORE,
24-Bangalore North,159. Pulakeshinagar (SC),221549,42609,804,BANGALORE,
25-Bangalore Central,160 Sarvagnanagar,266283,36324,1579,BANGALORE,
25-Bangalore Central,161 C.V. Raman Nagar (SC),232651,47806,2827,BANGALORE,
25-Bangalore Central,162 Shivajinagar,219480,23563,2747,BANGALORE,
25-Bangalore Central,163 Shanti Nagar,243408,43848,4341,BANGALORE,
25-Bangalore Central,164 Gandhi Nagar,245074,33201,2223,BANGALORE,
25-Bangalore Central,165 Rajaji Nagar,225627,19857,1662,BANGALORE,
25-Bangalore Central,168 Chamrajpet,224892,41099,2380,BANGALORE,
25-Bangalore Central,174. Mahadevapura (SC),240344,53472,2663,BANGALORE,
26-Bangalore South,166 Govindraj Nagar,222124,15970,3273,BANGALORE,
26-Bangalore South,167 Vijay Nagar,245870,14948,3044,BANGALORE,
26-Bangalore South,169 Chickpet,242264,26322,1469,BANGALORE,
26-Bangalore South,170 Basavanagudi,219937,5284,1424,BANGALORE,
26-Bangalore South,171 Padmanaba Nagar,234327,12257,2259,BANGALORE,
26-Bangalore South,172 B.T.M. Layout,253259,28607,3221,BANGALORE,
26-Bangalore South,173 Jayanagar,206755,15947,1319,BANGALORE,
26-Bangalore South,175. Bommanahalli,210963,19815,2198,BANGALORE,
27-Chik Ballapur ,139. Gauribidanur ,231394,53874,35072,KOLAR,
27-Chik Ballapur ,140. Bagepalli ,221517,55882,35530,KOLAR,
27-Chik Ballapur ,141. Chikkaballapur,230847,59924,21999,KOLAR,
27-Chik Ballapur ,150. Yelahanka,232452,39305,4630,BANGALORE,
27-Chik Ballapur ,178. Hosakote ,222430,48766,7658,BANGALORE RURAL,
27-Chik Ballapur ,179. Devanahalli (SC),226390,54929,20629,BANGALORE RURAL,
27-Chik Ballapur ,180. Doddaballapur ,227268,43087,9073,BANGALORE RURAL,
27-Chik Ballapur ,181. Nelamangala (SC),211751,48501,7273,BANGALORE RURAL,
28-Kolar (SC),142. Sidlaghatta ,227162,52560,19537,KOLAR,
28-Kolar (SC),143. Chintamani ,238087,52493,25440,KOLAR,
28-Kolar (SC),144. Srinivaspur,239004,65656,21614,KOLAR,
28-Kolar (SC),145. Mulbagal (SC),231302,63599,7469,KOLAR,
28-Kolar (SC),146. Kolar Gold field (SC),238484,101145,2883,KOLAR,
28-Kolar (SC),147. Bangarapet (SC),212879,62563,6761,KOLAR,
28-Kolar (SC),148. Kolar,258042,52867,12463,KOLAR,
28-Kolar (SC),149. Malur,207009,50797,18988,KOLAR,
,,,,,,
